model,idiom,language,cluster
mSBERT,অগ্নিসংস্কার,Bengali,42
mSBERT,অগ্নিসাক্ষী,Bengali,2
mSBERT,অগ্নিসেবন,Bengali,2
mSBERT,অগ্নিতে ঘৃতাহূতি,Bengali,12
mSBERT,অগ্নিতে বারিবর্ষণ,Bengali,2
mSBERT,অগ্রদানী,Bengali,42
mSBERT,অগ্রদূত,Bengali,42
mSBERT,অগ্রপশ্চাৎ,Bengali,42
mSBERT,অগ্রপশ্চাত্,Bengali,49
mSBERT,অগ্রপাণি,Bengali,42
mSBERT,অঘটন ঘটন পটিয়সী,Bengali,20
mSBERT,অঘা,Bengali,22
mSBERT,অঙ্কলক্ষ্মী,Bengali,33
mSBERT,অঙ্কুরে বিনষ্ট,Bengali,42
mSBERT,অঙ্কুরোদ্গম,Bengali,12
mSBERT,অঙ্কুশ তাড়না,Bengali,42
mSBERT,অঙ্কস্থ,Bengali,9
mSBERT,অঙ্গ জল হওয়া,Bengali,42
mSBERT,অঙ্গ জ্বালা,Bengali,25
mSBERT,অঙ্গুলিত্রান,Bengali,12
mSBERT,অঙ্গুলি নির্দেশ,Bengali,20
mSBERT,অচল পয়সা,Bengali,12
mSBERT,অচলায়তন,Bengali,42
mSBERT,অচিনপাখি,Bengali,12
mSBERT,অচন্দ্রচেতন,Bengali,2
mSBERT,অজগরবৃত্তি,Bengali,42
mSBERT,অজগ্রাম,Bengali,9
mSBERT,অজমূর্খ,Bengali,9
mSBERT,অজাতশত্রু,Bengali,42
mSBERT,অজাতশ্মশ্রু,Bengali,9
mSBERT,অজা যুদ্ধ,Bengali,44
mSBERT,অজাযুদ্ধ,Bengali,42
mSBERT,অজুহাত,Bengali,22
mSBERT,অজ্ঞাতকুলশীল,Bengali,20
mSBERT,অঞ্চলনিধি,Bengali,2
mSBERT,অঞ্চলপ্রভাব,Bengali,2
mSBERT,অতঃকিম,Bengali,49
mSBERT,অতশত,Bengali,49
mSBERT,অতিকথায় বার্তা নষ্ট,Bengali,20
mSBERT,অতিগর্জনে ফোঁটাবৃষ্টি,Bengali,42
mSBERT,অতিঘরন্তি,Bengali,42
mSBERT,অতি চালাকের গলায় দড়ি,Bengali,25
mSBERT,অতিদর্পে হত লঙ্কা,Bengali,20
mSBERT,অতিভক্তি চোরের লক্ষণ,Bengali,20
mSBERT,অতিলোভে তাঁতী নষ্ট,Bengali,42
mSBERT,অথৈ জল,Bengali,39
mSBERT,অথৈ জলের মাছ,Bengali,39
mSBERT,অদল-বদল,Bengali,42
mSBERT,অদানে অব্রাহ্মণে,Bengali,2
mSBERT,অদিনে অক্ষণে,Bengali,42
mSBERT,অদৃষ্টের কিল,Bengali,2
mSBERT,অধঃপাতে যাওয়া,Bengali,22
mSBERT,অধমাধম,Bengali,12
mSBERT,অধিকগর্জনে অল্পবর্ষণ,Bengali,20
mSBERT,অধিক সন্ন্যাসীতে গাজন নষ্ট,Bengali,20
mSBERT,অধিবাস,Bengali,2
mSBERT,অধিবিন্না,Bengali,33
mSBERT,অধিবেত্তা,Bengali,42
mSBERT,অধিমাস,Bengali,42
mSBERT,অনন্তনিদ্রা,Bengali,20
mSBERT,অনন্তবালা,Bengali,9
mSBERT,অনন্তরূপিণী,Bengali,20
mSBERT,অনন্তশয্যা,Bengali,42
mSBERT,অনন্তশয়ন,Bengali,42
mSBERT,অনভ্যাসের ফোঁটা,Bengali,25
mSBERT,অনলে জল ঢালা,Bengali,39
mSBERT,অনাগতবিধাতা,Bengali,20
mSBERT,অনাথের দৈব সখা,Bengali,2
mSBERT,অনাথের নাথ,Bengali,2
mSBERT,অনামিকা,Bengali,9
mSBERT,অনামুখো,Bengali,9
mSBERT,অনাসৃষ্টি,Bengali,20
mSBERT,অনাহারী,Bengali,9
mSBERT,অনিষ্ট হতে ইষ্টলাভ,Bengali,20
mSBERT,অনুপান,Bengali,42
mSBERT,অনুরোধে ঢেঁকি গিলা,Bengali,2
mSBERT,অনুরোধে ঢেঁকি গেলা,Bengali,20
mSBERT,অনুলোম বিবাহ,Bengali,28
mSBERT,অনেক কাঠখড় পুড়িয়ে,Bengali,31
mSBERT,অনেক জলের মাছ,Bengali,39
mSBERT,অনেক সন্ন্যাসীতে গাজন নষ্ট,Bengali,25
mSBERT,অন্তর টিপুনি,Bengali,20
mSBERT,অন্তরাত্মা,Bengali,2
mSBERT,অন্তর্জলি,Bengali,12
mSBERT,অন্তর্জলি যাত্রা,Bengali,2
mSBERT,অন্তর্দাহ,Bengali,42
mSBERT,অন্তিমদশা,Bengali,2
mSBERT,অন্ধ ও খোঁড়ার পথ চলা,Bengali,20
mSBERT,অন্ধকার দেখা,Bengali,15
mSBERT,অন্ধকার দেখানো,Bengali,2
mSBERT,অন্ধকারে উকুন বাছা,Bengali,25
mSBERT,অন্ধকারে কালো বিড়াল খোঁজা,Bengali,15
mSBERT,অন্ধকারে ঢিল ছোঁড়া,Bengali,15
mSBERT,অন্ধকারে থাকা,Bengali,20
mSBERT,অন্ধকারে হাতড়ানো,Bengali,25
mSBERT,অন্ধকূপ,Bengali,42
mSBERT,অন্ধকে দর্পণ দেখানো,Bengali,20
mSBERT,অন্ধগোলাঙ্গুলন্যায়,Bengali,2
mSBERT,অন্ধপঙ্গুন্যায়,Bengali,2
mSBERT,অন্ধপরম্পরান্যায়,Bengali,42
mSBERT,অন্ধ পরম্পরা অন্যায়,Bengali,20
mSBERT,অন্ধবিশ্বাস,Bengali,20
mSBERT,অন্ধভক্তি,Bengali,20
mSBERT,অন্ধ হওয়া,Bengali,20
mSBERT,অন্ধহস্তীন্যায়,Bengali,2
mSBERT,অন্ধিসন্ধি,Bengali,2
mSBERT,অন্ধের দেশে কানা রাজা,Bengali,12
mSBERT,অন্ধের যষ্টি,Bengali,20
mSBERT,অন্ধের হস্তীদর্শন,Bengali,2
mSBERT,অন্ন ওঠা,Bengali,20
mSBERT,অন্নগত প্রাণ,Bengali,20
mSBERT,অন্নচিন্তা চমৎকারা,Bengali,12
mSBERT,অন্নজল,Bengali,33
mSBERT,অন্নজল ওঠা,Bengali,2
mSBERT,অন্নজলের নাড়ী কোটা,Bengali,2
mSBERT,অন্নজলের বরাত ওঠা,Bengali,2
mSBERT,অন্নদাস,Bengali,9
mSBERT,অন্নধ্বংস করা,Bengali,20
mSBERT,অন্নপ্রাশনের ভাত ওঠা,Bengali,2
mSBERT,অন্নবল,Bengali,9
mSBERT,অন্নবস্ত্র,Bengali,42
mSBERT,অন্নময় কোষ,Bengali,20
mSBERT,অন্ন মারা,Bengali,2
mSBERT,অন্নসঙ্কট,Bengali,42
mSBERT,অন্নসংস্থান,Bengali,20
mSBERT,অন্যপুষ্ট,Bengali,42
mSBERT,অন্যপূর্বা,Bengali,49
mSBERT,অপত্যস্নেহ,Bengali,22
mSBERT,অপদার্থ,Bengali,20
mSBERT,অপরূপ,Bengali,22
mSBERT,অপাঙ্ক্তেয়,Bengali,9
mSBERT,অপগণ্ড,Bengali,42
mSBERT,অপোগণ্ড,Bengali,9
mSBERT,অবতার,Bengali,42
mSBERT,অবরে-সবরে,Bengali,12
mSBERT,অবলা-অখলা,Bengali,33
mSBERT,অবশ্য অবশ্য,Bengali,49
mSBERT,অবস্থা বুঝে ব্যবস্থা,Bengali,20
mSBERT,অবস্থার দাস,Bengali,20
mSBERT,অবাকজলপান,Bengali,9
mSBERT,অব্রাহ্মণের দীর্ঘফোঁটা,Bengali,2
mSBERT,অভদ্রাকাল,Bengali,2
mSBERT,অভাবে স্বভাব নষ্ট,Bengali,20
mSBERT,অভেদাত্মা হরিহর,Bengali,33
mSBERT,অমনি অমনি,Bengali,33
mSBERT,অমনি একরকম,Bengali,2
mSBERT,অমরকণ্টক কণ্ঠ হয়ে অমরনাথ যাত্রা,Bengali,12
mSBERT,অমাবস্যার অন্ধকার,Bengali,12
mSBERT,অমাবস্যার চাঁদ,Bengali,12
mSBERT,অমৃতং বালভাষিতম,Bengali,2
mSBERT,অমৃতং সুভাষিতম,Bengali,2
mSBERT,অমৃতপথযাত্রা,Bengali,2
mSBERT,অমৃতে অরুচি,Bengali,2
mSBERT,অমৃতের পুত্র,Bengali,2
mSBERT,অমেরুদণ্ডী,Bengali,2
mSBERT,অম্লমধুর বাক্য,Bengali,42
mSBERT,অম্লমধুর সম্পর্ক,Bengali,20
mSBERT,অম্লানবদনে,Bengali,12
mSBERT,অয়েল করা,Bengali,9
mSBERT,অরণ্যেরোদন,Bengali,12
mSBERT,অরুচি ধরা,Bengali,42
mSBERT,অরুচির অম্বল শীতের কম্বল,Bengali,12
mSBERT,অর্জুনের গাণ্ডীব,Bengali,33
mSBERT,অর্থগৃধ্নু,Bengali,43
mSBERT,অর্থদণ্ড,Bengali,27
mSBERT,অর্থপিশাচ,Bengali,12
mSBERT,অর্থমনর্থম্,Bengali,43
mSBERT,অর্ধচন্দ্র দেওয়া,Bengali,12
mSBERT,অর্ধজরতীন্যায়,Bengali,12
mSBERT,অলকাতিলকা,Bengali,9
mSBERT,অলক্ষ্মী,Bengali,33
mSBERT,অলক্ষ্মীর দশা,Bengali,12
mSBERT,অল দা সেম,Bengali,33
mSBERT,অল্পেয়ে,Bengali,42
mSBERT,অলম্বুষ,Bengali,9
mSBERT,অলিগলি,Bengali,9
mSBERT,অলিপান,Bengali,9
mSBERT,অলোকসামান্যা,Bengali,9
mSBERT,অল্পজলের মাছ,Bengali,39
mSBERT,অল্প জলের মাছ,Bengali,39
mSBERT,অল্পবিদ্যা ভয়ংকরী,Bengali,22
mSBERT,অল্পের উপর দিয়ে যাওয়া,Bengali,42
mSBERT,অশনিসঙ্কেত,Bengali,12
mSBERT,অশিক্ষিত পটুত্ব,Bengali,20
mSBERT,অশুভস্য কালহরণম,Bengali,42
mSBERT,অশ্বডিম্ব,Bengali,12
mSBERT,অশ্বতর,Bengali,12
mSBERT,অশ্বত্থামা হত ইতি গজ,Bengali,12
mSBERT,অশ্বমেধযজ্ঞ,Bengali,42
mSBERT,অশ্বিনীকুমার,Bengali,12
mSBERT,অষ্টকপালে,Bengali,9
mSBERT,অষ্টকুষ্টি পুত্র,Bengali,2
mSBERT,অষ্টবজ্রসম্মেলন,Bengali,42
mSBERT,অষ্টমঙ্গলা,Bengali,12
mSBERT,অষ্টরম্ভা,Bengali,9
mSBERT,অষ্টাবক্র,Bengali,12
mSBERT,অষ্টেপৃষ্ঠে,Bengali,42
mSBERT,অসিত অশ্বডিম্বের অন্বেষণ,Bengali,2
mSBERT,অসূর্যস্পশ্যা,Bengali,42
mSBERT,অস্ত যাওয়া,Bengali,42
mSBERT,অস্তিনাস্তি,Bengali,12
mSBERT,অস্ত্র,Bengali,44
mSBERT,অস্থিচর্মসার,Bengali,42
mSBERT,অস্থিতপঞ্চ,Bengali,2
mSBERT,অহংবুদ্ধি,Bengali,20
mSBERT,অহি-নকুল সম্পর্ক,Bengali,20
mSBERT,অহিতে বিপরীত,Bengali,42
mSBERT,অ্যাকটিং করা,Bengali,42
mSBERT,আইডিয়া,Bengali,9
mSBERT,"আইতে ছাগল, যাইতে পাগল",Bengali,33
mSBERT,আইবুড়ো পথ বদলানো,Bengali,9
mSBERT,আইল্যাণ্ড,Bengali,9
mSBERT,আউট,Bengali,36
mSBERT,আওয়াজ তোলা,Bengali,42
mSBERT,আওয়াজ দেওয়া,Bengali,9
mSBERT,আঁচলধরা,Bengali,22
mSBERT,আঁচলে গেরো,Bengali,22
mSBERT,আঁচলের নিচে থাকা,Bengali,25
mSBERT,আঁচাআঁচি,Bengali,22
mSBERT,আঁজলপাঁজল করা,Bengali,25
mSBERT,আঁটআঁট,Bengali,9
mSBERT,আঁটকুড়ের ব্যাটা,Bengali,22
mSBERT,আঁটসাঁট,Bengali,9
mSBERT,আঁটিসাটি,Bengali,22
mSBERT,আঁটি চোষা,Bengali,0
mSBERT,আঁটুবাঁটু,Bengali,22
mSBERT,আঁটুনিকসুনি সার,Bengali,33
mSBERT,আঁটোসাটো,Bengali,9
mSBERT,আঁত খালি,Bengali,22
mSBERT,আঁত পাওয়া ভার,Bengali,42
mSBERT,আঁত বুঝে চলা,Bengali,22
mSBERT,আঁতমরা,Bengali,9
mSBERT,আঁতলামি,Bengali,9
mSBERT,আঁতিপাঁতি খোঁজা,Bengali,25
mSBERT,আঁতুপুঁতু করা,Bengali,12
mSBERT,আঁতুড়ে খোকা,Bengali,22
mSBERT,আঁতে ঘা দেওয়া,Bengali,22
mSBERT,আঁতের টান,Bengali,25
mSBERT,আঁতেল,Bengali,22
mSBERT,আঁদাড়-পাঁদাড়,Bengali,22
mSBERT,আঁধার ঘরের আলো,Bengali,15
mSBERT,আঁধারে ঢিল ছোঁড়া,Bengali,25
mSBERT,আঁধারের আলো,Bengali,15
mSBERT,আঁস্তাকুড়ের পাতা,Bengali,25
mSBERT,আককাটা,Bengali,33
mSBERT,আককুটে,Bengali,33
mSBERT,আকখুটের দশা,Bengali,2
mSBERT,আকচাআকচি,Bengali,33
mSBERT,আকছার,Bengali,33
mSBERT,আকটবিকট,Bengali,9
mSBERT,আকণ্ঠ,Bengali,12
mSBERT,আকবরের আমল,Bengali,2
mSBERT,আকর্ণবিস্তৃত হাসি,Bengali,0
mSBERT,আকলমন্দি,Bengali,9
mSBERT,আকাট মূর্খ,Bengali,9
mSBERT,আকার-ইঙ্গিতে,Bengali,49
mSBERT,আকাল পড়েছে আলুর বস্তা,Bengali,25
mSBERT,আকাল,Bengali,22
mSBERT,আকাশকুসুম,Bengali,15
mSBERT,আকাশ-চাওয়া,Bengali,15
mSBERT,আকাশচুম্বী,Bengali,15
mSBERT,আকাশ ছোঁয়া,Bengali,15
mSBERT,আকাশ থেকে কথা বলা,Bengali,20
mSBERT,আকাশ থেকে পড়া,Bengali,2
mSBERT,আকাশদীপ,Bengali,15
mSBERT,আকাশনন্দিনী,Bengali,2
mSBERT,আকাশ ধরা,Bengali,15
mSBERT,আকাশপাতাল,Bengali,12
mSBERT,আকাশপাতাল এক করা,Bengali,2
mSBERT,আকাশপাতাল খোঁজা,Bengali,2
mSBERT,আকাশপাতাল চিন্তা,Bengali,20
mSBERT,আকাশপাতাল তফাৎ,Bengali,15
mSBERT,আকাশপাতাল ভেবে না পাওয়া,Bengali,2
mSBERT,আকাশপ্রদীপ,Bengali,15
mSBERT,আকাশবন্যা,Bengali,15
mSBERT,আকাশবাণী,Bengali,2
mSBERT,আকাশবিহারী,Bengali,2
mSBERT,আকাশবুড়ির সূতা,Bengali,15
mSBERT,আকাশ ভাঙ্গা,Bengali,15
mSBERT,মাথায় আকাশ ভেঙ্গে পড়া,Bengali,2
mSBERT,আকাশশয়ন,Bengali,2
mSBERT,আকাশ হল সীমা,Bengali,15
mSBERT,আকাশ হাতে পাওয়া,Bengali,2
mSBERT,আকাশে ওড়া,Bengali,15
mSBERT,আকাশে তোলা,Bengali,15
mSBERT,আকাশে থুথু ফেলা,Bengali,15
mSBERT,আকাশে ফাঁদ পেতে চাঁদ ধরা,Bengali,15
mSBERT,আকাশের চাঁদ,Bengali,15
mSBERT,আকাশের চাঁদ পাড়া,Bengali,12
mSBERT,আকাশের চাঁদ হাতে পাওয়া,Bengali,2
mSBERT,আকাশের তারা গোনা,Bengali,15
mSBERT,আকুলি-বিকুলি করা,Bengali,33
mSBERT,আক্কেলগুড়ুম,Bengali,12
mSBERT,আক্কেলদাঁত না গজানো,Bengali,2
mSBERT,আক্ল্মন্দ,Bengali,12
mSBERT,আক্কেলসেলামী,Bengali,33
mSBERT,আক্কেল হওয়া,Bengali,42
mSBERT,আখের গুছানো,Bengali,2
mSBERT,আখের বুঝে চলা,Bengali,20
mSBERT,আখেরি জমানা,Bengali,2
mSBERT,আখেরে লাভ,Bengali,20
mSBERT,আগড়মবাগড়ম কথা,Bengali,42
mSBERT,আগড়বাগড় খেয়ে পেট ভরানো,Bengali,5
mSBERT,আগাগোড়া,Bengali,12
mSBERT,আগাপাস্তালা,Bengali,33
mSBERT,আগামাথা,Bengali,33
mSBERT,আগুন দেওয়া,Bengali,37
mSBERT,আগুন নিয়ে খেলা করা,Bengali,37
mSBERT,আগুন পোহানো,Bengali,37
mSBERT,আগুন লাগা,Bengali,37
mSBERT,আগুন-লাগা সংসার,Bengali,12
mSBERT,আগুন লাগানো,Bengali,37
mSBERT,আগুন হওয়া,Bengali,37
mSBERT,আগুনে ঘি ঢালা,Bengali,37
mSBERT,আগুনে জল ঢালা,Bengali,37
mSBERT,আগুনের কাছে ঘি,Bengali,37
mSBERT,আগুপাছু করা,Bengali,22
mSBERT,আগেআগে,Bengali,42
mSBERT,আগেভাগে,Bengali,42
mSBERT,আঙুর ফল টক,Bengali,29
mSBERT,আঙুল কামড়ানো,Bengali,25
mSBERT,আঙুল ঘুরিয়ে পাঁচিল দেওয়া,Bengali,25
mSBERT,আঙুল ফুলে কলাগাছ,Bengali,29
mSBERT,আঙুল মটকানো,Bengali,25
mSBERT,আচমকা সুন্দরী,Bengali,16
mSBERT,আচাভুয়া-বোম্বাচাক,Bengali,12
mSBERT,আছোলা বাঁশ খাওয়া,Bengali,5
mSBERT,আছোলা বাঁশ দেওয়া,Bengali,25
mSBERT,আছোলা বাঁশ নেওয়া,Bengali,25
mSBERT,আজকাল,Bengali,40
mSBERT,আজকাল করা,Bengali,42
mSBERT,আজকাল বাদে,Bengali,40
mSBERT,আজকালের মধ্যে,Bengali,20
mSBERT,আজকের মত,Bengali,20
mSBERT,আজ খেতে কাল নেই,Bengali,26
mSBERT,আজ গেলে দুদিন হবে,Bengali,40
mSBERT,আজ নয় কাল,Bengali,40
mSBERT,আজ বাদে কাল,Bengali,42
mSBERT,আজেবাজে,Bengali,22
mSBERT,আঝালি,Bengali,9
mSBERT,আটকড়াই,Bengali,22
mSBERT,আটকপালী কপালে,Bengali,2
mSBERT,আটকাঠ ঘাট,Bengali,12
mSBERT,আটকিয়া বাঁধা,Bengali,42
mSBERT,আট কুঠুরি নয় দরজা,Bengali,26
mSBERT,আটকুড়ের ব্যাটা,Bengali,22
mSBERT,আট্কে বাঁধা,Bengali,25
mSBERT,আটখানা হওয়া,Bengali,42
mSBERT,আটঘাট বাঁধা,Bengali,25
mSBERT,আটপৌরে কাপড়,Bengali,25
mSBERT,আটপৌরে ভাষা,Bengali,12
mSBERT,আটা পেষাই করা,Bengali,25
mSBERT,আটাশে ছেলে,Bengali,1
mSBERT,আটাশের ছেলে,Bengali,2
mSBERT,আটেকাটে,Bengali,9
mSBERT,আটুপাটু,Bengali,9
mSBERT,আঠা,Bengali,22
mSBERT,আঠারো আনা,Bengali,42
mSBERT,আঠারো ঘা,Bengali,22
mSBERT,আঠারো মাসে বছর,Bengali,2
mSBERT,আড্ডা গাড়া,Bengali,12
mSBERT,আড়ংঘাটা,Bengali,12
mSBERT,আড়ং ধোলাই,Bengali,22
mSBERT,আড়ংহাটা,Bengali,22
mSBERT,আড়কাঠি,Bengali,25
mSBERT,আড়কালা,Bengali,9
mSBERT,আড় নেই,Bengali,26
mSBERT,আড়পাগলা,Bengali,9
mSBERT,আড়বগ্গা,Bengali,22
mSBERT,আড়বুঝ,Bengali,12
mSBERT,আড় ভাঙা,Bengali,22
mSBERT,আড়মোড়া ভাঙা,Bengali,25
mSBERT,আড় হওয়া,Bengali,42
mSBERT,আড়া,Bengali,22
mSBERT,আড়াআড়ি,Bengali,22
mSBERT,আড়াই অক্ষরে,Bengali,22
mSBERT,আড়াই দিনের বাদশাহী,Bengali,2
mSBERT,আড়াই হাত তালগাছের,Bengali,32
mSBERT,আড়ালে আবডালে,Bengali,12
mSBERT,আড়িপাতা,Bengali,25
mSBERT,আড়েহাতে লওয়া,Bengali,25
mSBERT,আড়েহাতে লাগা,Bengali,22
mSBERT,আণ্ডাবাচ্চা,Bengali,22
mSBERT,আতান্তর,Bengali,9
mSBERT,আতালিপাতালি,Bengali,12
mSBERT,আতিপাতি,Bengali,42
mSBERT,আতুপুতু করা,Bengali,12
mSBERT,আত্মঘোষ,Bengali,20
mSBERT,আত্মনং সততং রক্ষেৎ,Bengali,20
mSBERT,আত্মবৎ মন্যতে জগৎ,Bengali,20
mSBERT,আত্মবৎ সর্বভূতেষু,Bengali,20
mSBERT,আত্মরক্ষে ধর্ম,Bengali,34
mSBERT,আত্মসর্বস্ব,Bengali,20
mSBERT,আত্মাপুরুষ,Bengali,20
mSBERT,আত্মারাম খাঁচাছাড়া হওয়া,Bengali,20
mSBERT,আত্মারাম গুটিয়ে যাওয়া,Bengali,20
mSBERT,আত্মার্থে পৃথিবী ত্যজেৎ,Bengali,20
mSBERT,আথালিপাথালি,Bengali,33
mSBERT,আদব-কায়দা,Bengali,33
mSBERT,আদব-কায়দাদুরস্ত,Bengali,33
mSBERT,আদবের খেলাপ,Bengali,20
mSBERT,আদমের সময়,Bengali,2
mSBERT,আদরে বাঁদর,Bengali,16
mSBERT,আদা ওষুধের আধা,Bengali,25
mSBERT,আদা জল খেয়ে পড়ে থাকা,Bengali,39
mSBERT,আদাজল খেয়ে লাগা,Bengali,25
mSBERT,আদাড়-পাদাড়,Bengali,22
mSBERT,আদাড়বনে শিয়াল রাজা,Bengali,2
mSBERT,আদাড়ের হাঁড়ি,Bengali,25
mSBERT,আদা-কাঁচকলা সম্পর্ক,Bengali,20
mSBERT,আদার ব্যাপারী,Bengali,42
mSBERT,আদিরস,Bengali,9
mSBERT,আদুরে গোপাল,Bengali,33
mSBERT,আদেখলা,Bengali,9
mSBERT,আদ্যিকালের বদ্যিবুড়ো,Bengali,25
mSBERT,আদরু-পেঁদরু,Bengali,22
mSBERT,আধাখেঁচড়া,Bengali,42
mSBERT,আধা-পাগলা,Bengali,22
mSBERT,আধাবয়সী,Bengali,42
mSBERT,আধকামারিয়া,Bengali,33
mSBERT,আধবুড়ো,Bengali,22
mSBERT,আধমণি কৈলাস,Bengali,2
mSBERT,আধমরা,Bengali,42
mSBERT,আধিব্যাধি,Bengali,20
mSBERT,আধো আধো,Bengali,22
mSBERT,আধো-আধোপনা,Bengali,22
mSBERT,আনকা,Bengali,9
mSBERT,আনকোরা,Bengali,33
mSBERT,আনচান,Bengali,33
mSBERT,আন-তাবড়ি,Bengali,12
mSBERT,আনন্দে আটখানা,Bengali,16
mSBERT,আনাগোনা,Bengali,9
mSBERT,আনাচ-কানাচ,Bengali,33
mSBERT,আন্দাজে ঢিল ছোঁড়া,Bengali,25
mSBERT,আন্দিরাম মহাজন,Bengali,33
mSBERT,আন্নাকালী,Bengali,12
mSBERT,আপকা ওয়াস্তে,Bengali,33
mSBERT,আপ-খোরাকি,Bengali,22
mSBERT,আপদ,Bengali,27
mSBERT,আপদ-বিপদ,Bengali,27
mSBERT,আপন কথাই পাঁচকাহন,Bengali,20
mSBERT,আপন কোলে ঝোল টানা,Bengali,25
mSBERT,আপনগণ্ডা,Bengali,42
mSBERT,আপনগাঁয়ে কুত্তা শের,Bengali,12
mSBERT,আপনা-আপনি,Bengali,49
mSBERT,আপন পাঁঠা লেজে কাটা,Bengali,25
mSBERT,আপনার পায়ে কুড়োল মারা,Bengali,38
mSBERT,আপন হাত জগন্নাথ,Bengali,33
mSBERT,আপনা হাত জগন্নাথ,Bengali,32
mSBERT,আপনার ঢাক আপনি বাজানো,Bengali,22
mSBERT,আপনি বাঁচলে বাপের নাম,Bengali,22
mSBERT,আপ্তবাক্য,Bengali,20
mSBERT,আফসোস,Bengali,9
mSBERT,আবড়াখাবড়া,Bengali,22
mSBERT,আবদার,Bengali,9
mSBERT,আবর্জনা,Bengali,9
mSBERT,আবহমানকাল,Bengali,42
mSBERT,আবহাওয়া,Bengali,15
mSBERT,আবাগী,Bengali,33
mSBERT,আবাগের বেটা ভূত,Bengali,12
mSBERT,আবাদী জমি,Bengali,2
mSBERT,আবোল-তাবোল,Bengali,33
mSBERT,আব্রু,Bengali,33
mSBERT,আভাঙা জল,Bengali,39
mSBERT,আম না হতে আমসি,Bengali,26
mSBERT,আমগন্ধি,Bengali,22
mSBERT,আমড়া,Bengali,22
mSBERT,আমড়া কাঠের ঢেঁকি,Bengali,25
mSBERT,আমড়া গাছে আম ফলে না,Bengali,29
mSBERT,আমড়াগাছি করা,Bengali,42
mSBERT,আমড়া ভাতে করা,Bengali,20
mSBERT,আমতা আমতা করা,Bengali,16
mSBERT,আমল না দেওয়া,Bengali,20
mSBERT,আমল দেওয়া,Bengali,20
mSBERT,আমসি হওয়া,Bengali,42
mSBERT,আমিত্ব,Bengali,42
mSBERT,আমি আর আমি নয়,Bengali,36
mSBERT,আমির-উমরা,Bengali,33
mSBERT,আমে দুধে এক হয় আঁটি যায় গড়াগড়ি,Bengali,29
mSBERT,আয়নায় মুখ দেখা,Bengali,17
mSBERT,আয়ারাম,Bengali,33
mSBERT,আয়েন্দা,Bengali,2
mSBERT,আয়েশ,Bengali,2
mSBERT,আয়াস,Bengali,2
mSBERT,আয়ীবুড়ি,Bengali,9
mSBERT,আয়োসুয়া,Bengali,9
mSBERT,আর আর,Bengali,49
